ID|Role|YearsExperience|Gender|Age|Strengths|Weaknesses|Opportunities|Threats
400|Master Gardener Volunteer|10+|Female|45-64|Being in a role of educating others|Too many people have never heard of us, and we have to be willing to toot our own horn with pride |The chance to keep educating the public |Lack of funding and lack of understanding of what we do.  Some people think we are free gardening labor which is horrible.  Some people take the course with no intention of serving the public 
401|Master Gardener Volunteer|10+|Female|25-44|Provides great education for MGVs.  The amount of outreach is tremendous and exciting.|There is too much paperwork/training to be a volunteer.  Sometimes it is hard to be a volunteer because of all the checks and waivers that have to be done before volunteering can happen.|Lots of great resources to make educating others a worthwhile effort.  Embrace more on-line reporting and hours submission.|Paperwork and screening hurdles create obstacles to volunteering and membership.
402|Master Gardener Volunteer|0-5|Female|65+|Educational opportunities.   Ability to volunteer in interest area |Volunteer opportunities are limited if working full time which results in a large number of retired members. I’d like to see more diversity.  I’ve also had poor experience when Volunteering as a speaker soending a lot of time developing the program with limited attendees. Support material for speakers should include dialogue. |Would like to see additional support for urban gardening and partenering with other community groups    Additional specialty training would be helpful. |The fact that the organization will be multi-county opens doors for more volunteer opportunities but will also mean more travel for volunteers. 
403|Master Gardener Volunteer|0-5|Female|25-44|Sharing education with local communities. |Connection from State to County levels could be inproved. Not the program itself. Too much has been elimited with county cuts.|Online classes and have the state have specialists visit the counties.|We compete against counties not uderstanding the importance of education. Not the value. They like/need dollar amounts.
404|Master Gardener Volunteer|10+|Female|65+|Camaraderie & working with other garden enthusiasts, educational opportunities.|Need more funding for greater educational opportunities & leadership.|Organized field trips & travel to world famous gardens|Don't know.
405|Master Gardener Volunteer|43595|Female|65+|A focus on practical information which has been verified by research & professional experience|"The ""paperwork"".  There's a lot of value in collecting our statistics, but I welcome a more efficient method."|"More public awareness of the ecological importance of native plants, better acceptance of ""the meadow look"", support for local & regional resources"|Funding cuts to hort ed staff, reduction in number of MG students, garden clubs & volunteer programs at Olbrich/Allen/WMARS, etc.
406|Master Gardener Volunteer|10+|Female|65+|Working with others with the same interests as me|hard to get people to volunteer for things - people not staying with the program|love hands on activities|almost did not stay with the program due to the request for SS numbers online
407|Master Gardener Volunteer|0-5|Female|45-64|Very informative|I'm not exactly sure what I am supposed to be doing|not sure|not sure
408||10+|Female|65+|the Master Gardeners have wonderful opportunities for education. |I would like more training  in computers for the class.es.|none|I need help with the computer to do many acrivities.
409|Master Gardener Volunteer|10+|Female|45-64|Getting people involved in gardening, teaching them how to do it and why to do it|communication - I am surprised how many people don't read their email|Organic food seems to be the trend right now, healthy living and whole foods.|some members don't feel they should have to have a criminal background check to participate
410|Master Gardener Volunteer|10+|Female|45-64|Volunteering for community projects|Mandatory volunteer hours are hard for working single people|I don't know|Lack of time and what incentive us there to be a MG
411|Master Gardener Volunteer|43595|Female|65+|Educating the public and respect for the environment|Some of the activities seem very restrictive - oversupervised|I don't know|Lack of funds for staff
412|Master Gardener Volunteer|10+|Female|65+|scientific and research based education|Lack of diversity needs improvement and expansion. Too much emphasis on the suburbs and not the Milwaukee area in general.|Coordination with environmental, ecological and sustainable, organic opportunities. Urban-Ag is a good example and expanding more community efforts at edible growth rather than ornamental type gardens.|Too many things that have always been done the same way and continue in that vein with the same members and ideas. Perhaps union with Madison and the newly hired staff while bring us closer to innovative ideas and plans rather than the tired old lets do as we always have done.
413|Master Gardener Volunteer|0-5|Female|65+|camaraderie with fellow gardeners, learning from speakers and gardeners, having pride in projects that we are working on |I'd like more learning opportunities--i.e. UW Sheboygan has a short program which is good.  I prefer class learning over online.  |I've only been part of the program for 2 years, so it's difficult for me to see the bigger picture at this point.  I do know that we are respected for what we do and that makes me feel worthwhile.|I can't name other organization that gives so much time and effort to the community. 
414|Master Gardener Volunteer|0-5|Male|65+|Educational talks/video seried|The variability between counties|Incorporating volunteers into research where possible|Political pressures to privatize
415|Master Gardener Volunteer|43595|Female|45-64|It beings multiple generations together making the community more attractive. |More onsight training.|The state needs to continue to support the county level.|I do not see any at the County level.
416|Master Gardener Volunteer|10+|Female|65+|Education was key for me - also volunteering for worthwhile projects|Even more access to hands on education - do more recruiting of members|Find more ways to include the youth, like the Webster program|I don’t necessarily see threats to the program 
417|Master Gardener Volunteer|10+|Female|65+|Community beautification projects |Too many restrictions coming from Madison.  Changing method of reporting hours will be difficult for older members who are not very computer savvy.|More educational opportunities in the community.  People are beginning to think of MGVs as information sources instead of physical labor.|More people are realizing the availability of information on the internet.  
418|Master Gardener Volunteer|0-5|Female|45-64|Lots of different things to do, places to go, things to learn, people of like mind to talk with.|It's perfect the way it is. |I can't tell what the future holds, right? Maybe include high school-age kids as well.  Is there a minimum age|That MG volunteers just aren't able to get in the hours required. I don't know of a better way to do things, and I'm not in jeopardy of losing my own membership in that I'll always be sure to meet the minimum requirements.
419|Master Gardener Volunteer|43595|Female|65+|Keeps abreast of current research and passes it on to our training |Nothing at present. I like the Plants Plus For continuing education |No oppinion|We need younger members 
420|Master Gardener Volunteer|10+|Female|65+|Continuing horticulture education opportunity. Interacting with fellow gardeners. |Membership loss is significant. It would be nice to see younger members. I don’t think working people don’t have the time or energy to get involved with Master Gardeners|I think being a part of the Universty of Wisconsin / UWEX is a strength for education opportunities. |I think there is a change occurring with young families today. They are very involved with family but not with community organizations such as service clubs, churches. 
421|Master Gardener Volunteer|0-5|Male|45-64|I think what excites me the most is working on projects like local parks and community gardens.|This could vary from county to county but my experience has generally been that the majority of volunteers are older and retired. Thus volunteer opportunities happen more often on Mondays or other workdays in the AM. Reaching out to younger volunteers could create some diversity.|I'm sure this varies from county to county and local needs but it would seem like there is opportunity for MGs to assist or drive gardens that give to local food banks.|Not sure at this time.
422|Master Gardener Volunteer|0-5|Male|45-64|commitment to service in the community, training that it offers volunteers|better use of technology in local and state back office operations|how we can connect increase use of horticulture while battling carbon emissions that cause climate change|lots of horticulture options in many communities
423|Master Gardener Volunteer|10+|Female|45-64|Wonderful resource of information and education.|Great expertees, support  and enthusiasm. What more could one ask for on a program. I am not sure I can keep up with the core hours but I will try. We have an extremely knowledgeable group of people eager to help others and share information. It is amazing! I sometimes feel lost or not a part of things because of the poor connection and lack of expertees on the internet.|Just being the support and educational help they have been. Don't extend yourself too far because you are covering alot with the limited personnel that you have..|I really don't know ?
424|Master Gardener Volunteer|10+|Female|65+|Provides education, hands-on training and visual experiences for those interested in nature, the environment, and best practices for their home gardening.|Activities that people over 65 can participate in when they have physical limitations.|Addressing the diminishing bee and monarch situation by developing best practices and education ourselves and the public in our area.|Aging out with not enough younger people getting involved.
425|Master Gardener Volunteer|10+|Female|65+|The opportunity and encouragement to keep learning and contribute to society excites me. The program does a great job of offering a variety of opportunities for continuing education and volunteering which inspires new ideas.|"I would make the students and the teachers of the Master Gardener Program become engaged right from the beginning in the MG association in their area. It seems to me that very few students complete the education program and get involved in the ongoing association--they do not even visit! As for older members, I know people who consider themselves to be MG's but hardly ever,if ever come to a meeting but they still somehow get their continuing education and volunteer hours accepted. I'm not sure they should be able to ""get away"" with this lack of committment to the program. I would send an e-mail to every MG in the nation and tell them that they MUST go to at least 1/2 of the local association meetings and get 1/2 of their continuing education and volunteer hours through the organization's activities. That would really help support the activities of the local association--such as ours where there are supposed to be 50+ MG's in the area but only 10 people are showing up to the meetings, doing all of the work, and putting together an annual spring seminar. It is a burnout for those of us doing all of the work and others sitting on their hands and still considered MG's. It is insulting."|I think the program could really do more in the communities across the country if ALL of the MG's were involved in doing something together. There's power in numbers and a great opportunity for socialization and education when people come together to learn and work. I really like the idea of community gardens and we are lucky to have an excellent one. It's important for people to know how to grow their own food and school gardens seem to be a place we are called to be involved with. On-line education across the state or nation would be a very helpful way for MG's to hear or see world-class speakers at their meetings/seminars and would bring more members into the meetings.|The biggest threat I see is the aging population of MG's with few younger people getting involved. I think the MG teachers/state leaders need to visit the technical colleges, universities and get young people in agriculture, forestry, horticulture into the MG program. Also students in 4H should be recruited.
426|Master Gardener Volunteer|0-5|Female|65+|Lots of information |?|Too new to know|Too knew to know
427|Master Gardener Volunteer|10+|Male|45-64|Education of fellow MGV’s and the public.  Community volunteerism. |Seems OK to me except for the stress governor Walker caused with the budget cuts to the UW Extension program.   Maybe the new governor will appreciate the value MGV’s provide to the state and support the program.  |Unsure at this time.  |As mentioned above - the strain governor Walker caused by slashing the UW extension budget and staffing cuts.  We MGV’s are all volunteers.  We are not worried about competitors.  
428|Master Gardener Volunteer|0-5|Female|25-44|Training courses and information availability |Inconsistent experience between county groups. Difficult to participate in volunteer activities if most in your group are retired yet you have to work full time. |Partnering with groups focusing on conservation/sustainability and species protection|Young people not wanting to join because the retired age group members won’t listen to new ideas or accommodate full time work schedules. 
429|Master Gardener Volunteer|43595|Female|65+|The program continues to grow and improve.  One strength of the program is the hands-on work done by MGVs in the teaching garden and color wheel.  The rain garden and other specific areas are a good learning tool.  The instruction is well planned and presented.|I would improve time management of the program and the MGV events.  Start and end on time.  Respect participants time.|I believe money should be put into improving the computer system.  We still don't have a way to log MGV hours online.  There's a struggle to get information input completed because the program is running on dated technology.  The program should have to run on a shoe string in the IT area.|Competitors are our own agencies, i.e., UW Extension and Dane Co.  There doesn't seem to be enough money to go around and staff cuts are a hindrance to the program.  
430|Master Gardener Volunteer|10+|Female|65+|Through volunteer projects working with county youth and adults.|Improve on the expectation that one should become a member or need to serve under the extention.  Have a second designation as a life long learning course.|Be part of the organic, non- processed food trends. County projects give opportunties to serve local communities.|Local or county program allows for more people to attend.
431|Master Gardener Volunteer|0-5|Male|65+|Education |Lack of minority’s |More urban garden sites to volunteer at|Lack of participants under 50 years old
432|Master Gardener Volunteer|0-5|Female|65+|Provides a wide range of volunteer opportunities. The program helps and improves the community|Introduce native regional prairie and woodland plants|Working with other programs and combine goals. For example the MGV’s working with the Parks Division to accomplishment common goals.|I do not see any competitors. We are all working together to work on common goals. 
433|Master Gardener Volunteer|0-5|Female|45-64|Education,initial training very good. Meeting other master gardeners and |Getting approval to have program recognized can be cumbersome. I would like to have some things standardized that are accepted across county lines. Eg maple program at McKenzie. I live clos|Closer assoc and acceptance of state org like daylily or peony society. They all have education for the public as part of their mission.can be part of online education to give more visual examples if we knew how to send in from our gardens|Time is factor of how many things one can do, travel at least one way should be counted. I live closest to Dane county, reside in Columbia cty and member there and worked in Dodge so got training there . Some acceptance of crossing county lines based on interest.i would attend different meetings based on speakers
434|County Coordinator/Educator|10+|Female|65+|Believe the program does well in communicating changes that are affecting our way of doing business on the county level.  I am looking forward to how we are going to embrace the changes with technology and how we can learn about new gardening technicues and in turn be able to share with our county group.|Program could be improved on offering training at different levels or different topics.  For my area, we need more train the trainer, including myself and how we can use webinars to link to other members so we could share ideas.  Volunteers should be recognized on the state level for all their contributions.  I don't believe the group as a whole gets enough recognition.  On personal level, I have a problem with all mandatory requirements by the state.  Since I believe tha the volunteer group does not receive enought recognition for all the hours they contribute to the commiunities, the state does not have the right to madate programs to volunteers.|The program should look at how to teach young families to grow healthy food in small spaces economically.  I believe the program needs to look at economics. health, and ways to communicate with groups of people who think they have limited time to spend on gardening and eating healthy.  Our program strength is our willingneess to help people so in some ways we need to address how we can share information to groups that have special diets, limited space to garden and limited time to learn new ways.|Our competition is the budget that limits hiring personel that could assist the volunteers.  We need people!
435|Master Gardener Volunteer|43595|Female|65+|Learning opportunities|More college and youth volunteers.|Recruit more volunteers.|Other garden clubs.
436|Master Gardener Volunteer|43595|Male|65+|Initial training provides the knowledge base to continue learning through the year.  With that education I've participated in many of the Extension MGV activities like the helpline, speakers' bureau and ask a master gardener. I've also been able to use that information to help neighborhood gardeners and gardening projects|Eliminate the criminal background check  - we are volunteers not state workers.  A form or online training could be substituted for whatever behaviors should be guided.|More emphasis on adding plantings in neighborhoods.  More emphasis on sustainable home vegetable and flower plantings.|Not enough staff.  No competitors as politicians do not support non-business activities
437|Master Gardener Volunteer|43595|Female|45-64|Opportunity to learn about Horticulture and able to contribute the knowledge and skill to the betterment for the community |Human Resources and accessibility. We need younger generation involved. |Junior Master Gardeners course. Get students involved within the compulsory education early on. |Lack of younger / physical ly able bodies
438|Master Gardener Volunteer|0-5|Female|65+|excited about opportunities to be involved in  community projects.  Opportunity to continue learning about gardening and the environment.|need more younger members.|programs events brings the community together  |low and aging membership appears to be an existing problem.
439|Master Gardener Volunteer|43595|Female|45-64|Taking care of community gardens|It is very cliques .  I have found it very hard to make friends.   Also the same people do too many things|Limit the number of years that someone can be in a leadership role|MG is not diverse by age, or race 
440|Master Gardener Volunteer|0-5|Female|45-64|I have met many locals with the same interests as me through the classes and the volunteers.  As the years went on, we have now established a relationship with the local4H grips.  They work with us all summer long and this includes an educational aspect that we prepare and deliver weekly.  This also has led to a relationship with the local A+ Afterschool program as well. As a newly retired teacher this allows me to continue to use my experience and do it with new friends.  There are 5 of us MG that meet for lunch monthly, go on trips together, and visit each others homes and gardens.  We do all of this with access to MG info through Extension .  This program has become a huge part of my day and it HAS to continue to flourish.|We loss Ken Williams to retirement and that hurt us.  We need THAT type of support .We need help with biyearly classes to reach out into the community and recruit new members.  NIT park people on a computer, that does not allow for the friendships to bloom and the awesome conversations and sharing of info that occurs during the class time.|See last comments.  COMMUNICATION  and LOCAL flexibility to address individual county needs re:  soil types, availability of new members to recruit, community support  / needs.|I do not see competitors.  I see major community support on many levels from businesses.
441|Master Gardener Volunteer|10+|Female|45-64|It does a good job of educating the volunteers.  It has a good impact on the community through the different projects it gets involved with.|There seems to be a lot more paper work and a lot more rules.  Might keep more people involved with a little flexibility in the requirements to stay a certified Master Gardener to get a younger generation that is still working full time to get involved.|The best part of the program for me is the education available and I would like to see that continue since there are always improvements in the way we care for green spaces.|Age....our group is having a hard time getting and keeping the next generation.
442|Master Gardener Volunteer|0-5|Female|65+|Keeping in touch with volunteers through emails, etc. Providing guidelines for maintaining volunteer status.|I haven't been in the program long enough to think of improvements or avoidances. I appreciate that my UUW-Extension rep., Bill Halfman, keeps me informed when requried.|"I think that ""in person"" courses could be more available. There is no course offered in Monroe County. I actually was permitted to complete the U-Minn course; and did my volunteer requirements based on U-W program. "|I can't think of any.
443|Master Gardener Volunteer|0-5|Female|45-64|The instruction|More continuing education programs |Community outreach|Unsure
444|Master Gardener Volunteer|0-5|Male|65+|Providing information|limited opportunities to sign up for classes, older age of participants (not objecting to age, just need new young blood) difficulty in obtaining certification and sign up. |need more offering for youth involvement|time is the crunch, competitors are the other many areas of activities for us all
445|Master Gardener Volunteer|10+|Female|45-64|Provides great initial training, continuing education. Improved website with links to resources. Proactive leadership that asks/involves Volunteers in the process. |Nothing to add here |Continue addressing large/small group differences and helping coordinate ALL aspects of EXTENSION to work together to achieve common goals for our communities. We are always trying to do more with less. Coordinate across state entities (DNR, Soil cons., Fws, etc.)to better our communities. Food security,  gardening for climate change.|Does your community know where you are or what you do.  Signage. What educationalprograms are you putting out to the public.  We are not getting enough younger people involved to sustain us.. 
446|Master Gardener Volunteer|0-5|Female|45-64|Educational opportunities, and excellent communication regarding activities.|Nothing at this time comes to mind.|Partnering with other agencies in government for awareness of global warming. Better everyday practices that could be practiced by all.|Uncertainty of the UM ext reorganization. Will it eliminate support of Mastergardener ?
447|Master Gardener Volunteer|0-5|Female|65+|Always keeping the focus of education of the master gardener and the community as a primary issue. |I am newer and at this point I have no comment about this. |Maybe offering computer based education for community or interactive sessions. |I am not aware of sny
448|Master Gardener Volunteer|10+|Female|65+|Educating the public and carrying on conversations with people is what we do well.|The weaknesses of the program are definitely getting younger people involved. The older members  are doing a great deal of the work.|Climate change is going to make a huge difference in how and what we plant.  Invasive plants and insects will be a constant issue.  Shall we just embrace them??|We work with and participate with garden clubs but they don't have the training we have. We are losing members to them because people don't want to do the volunteering.
449|Master Gardener Volunteer|10+|Female|65+|Youth education in gardening|Unsure|Unsure|Lack of participation after taking MGV training
450|Master Gardener Volunteer|10+|Male|65+|Some of the training offered|don't|ddd|ddd
451|Master Gardener Volunteer|43595|Female|45-64|Teaching and learning|Vacation photos|Not sure|Not sure
452|Master Gardener Volunteer|10+|Female|45-64|educating the community-answering community questions-community gardens|Lack of communication within program, support for new members|keep websites updated, participate in social media to raise awareness and post events/news|recruiting and retaining members, keeping younger members engaged
453|Master Gardener Volunteer|0-5|Male|45-64|Provides strong knowledge base, awareness of additional resources, access to and networking with like-minded organizations and individuals, access to volunteer opportunities|during training, more hands-on learning, labs, and demos vs. heavy emphasis on lecture|great to see the collaboration with the City of Madison on researching planting practices for medians - would be great to continue developing more such civic engagement - improvement projects.  Reach out to Clean Lakes Alliance to identify and develop opportunities for collaboration|Many other organizations are seeking volunteers, so IF the MGV program were not being promoted successfully to potential participants (I don't think that's the case), it could be threatened
454|Master Gardener Volunteer|10+|Female|65+|To have all people interested in gardening even if you don't have a Master Gardener Tidal to help your community|Educate people today like they did in the past during the depression when we had the Victory Gardens.|No comment.|No comment.
455|Master Gardener Volunteer|0-5|Female|45-64|Service to the community |Support for local programs has been absent|Organic, of course. Food preservation of fresh, homegrown products. Collaboration of gardener talents and community needs |We cannot compete against local businesses, but we can educate to be smart consumers and responsible stewards and healthy citizens in an altruistic community
456|Master Gardener Volunteer|10+|Female|65+|Educate the public.  Enjoy spending time with dedicated volunteers with similar interests.|Reporting hrs.  |Updating hour reporting |Unstable pending decisions by state leadership 
457|Master Gardener Volunteer|0-5|Female|45-64|Educate about horticulture, Get people excited about gardening, trains us to educate future gardeners and answer questions about horticulture, Gives us the opportunity to volunteer in the community, & promotes lifelong learning |Not enough publicity & needs to better appeal to the next generation of gardeners |becoming a part of community rec programs by offering classes/experiences, getting into the primary school system, work with inner-city development programs to promote gardening and green space, & find a way to work with for profit companies to promote programs (like rehabilitation, better mental health at work, or making smarter choices at the garden center) |The internal program not wanting to change to meet the needs of today's (tomorrow's) gardener
458|Master Gardener Volunteer|43595|Female|65+|I enjoy giving  back to my comunity by working in gardens as well as the friendships with fellow gardeners.   |Number of hours of continuing ed.  We learn a lot from working together .|not sure ?|Not sure !
459|Master Gardener Volunteer|0-5|Female|45-64|Learning about new issues, problems & improved practices affecting gardening.|Reduce number of required volunteer hours. Is a barrier to younger people joining program.|Helping homeowners manage jumping worm issue.|Major obstacle would be time expectations required to remain in program.
460|Master Gardener Volunteer|10+|Prefer not to respond|Prefer not to respond|Currently we have good leadership.  The projects seem to be endless.  Regardless of your abilities there is always something to do.  Age and gender have nothing to do about the love of nature and gardening.  It's there for all to enjoy, learn and actively participate.  |I believe that this program in on track.  Interests come and go like the particpants but I have stuck with the program for years.  There is nothing I would change at this point|Interests often lead to career changes and some opportunities for this kind of employment could be made available for some who really qualify.|No threats at this time.  Some programs are sloppy  at the local level but that is probaly due to time constraints.  Local groups seem to prefer informality and  management is often  neglected.
461|Master Gardener Volunteer|0-5|Female|Prefer not to respond|I believe the strength of the program is the initial education.|The ongoing education is a struggle for me.  It would help if there were one main online site that I could go to that coordinates all local education opportunities - their date and what they are offering.|Perhaps a forum the local master gardeners would interact on - offering advice, help with a project or the offer to help, plants they want to make available, etc.| I think the obstacle would be isolation.  I feel alone in my service ((although I enjoy what I am doing) but when I've had questions, I have not received answers.  A recognition lunch does not do it.
462|Master Gardener Volunteer|0-5|Female|25-44|The service to the community. |Some of our locations are not being kept up well. |I am not sure.|I don't know of any. 
463|Master Gardener Volunteer|0-5|Female|25-44|"I think that overall, the program ensures that the knowledge and wisdom of growing basics will pass onto the generations to come.  I feel strongly about how integral that is, since less young people are exposed to natural living overall, and don't pursue it in advanced education.  Locally in our county, I think that we do a wonderful job implementing our ""Microgarden"" program in our elementary schools.  We also have been acknowledged for the quality of one of our large-scale events called, ""Let's Get Green and Growing.""  Personally, I think our county delivers an excellent MGV education program at the UW-Extension office.  Without which, I would not know the basics of horticulture.  Therefore, we are making an impact on individuals, communities, and even to groups outside our community.   "|I think our local program would benefit from more recruiting and outreach in order to increase membership.  Ideally, volulnteer management would involve the guidance of placing volunteers in posiitons that suit their personalities and skills.  (Role Identification)  I would discourage discrimination against age.  |With a huge push towards organic living, I think the MGV program could partner with millenials to learn and understand the work that goes into organic living.  Go green or go home!|Locally, individuals under the age of 50 have expressed a feeling of rejection from older members.  Without youth, I think the program might have a shorter life.  I think if we collaborate with other non-profits, working towards similar outcomes, we can all survive.  :)  
464|Master Gardener Volunteer|0-5|Female|45-64|The program offers diversity and many opportunities to garden with others.  I'm most excited about learning more and more through experience.|Well, I attended the banquet in October and the general public financial meeting at the GBBC.  When I found out that our volunteer hours generated a financial profit, the wheels began turning.  Ninety four thousand dollars in 2018 was the amount protected on the screen.  Great!  We have funds for growth.  I have attended two volunteer meetings and we have been told we only have $300.00 to spend per garden.  Not only that, we don't have a truck, garden trailer or tillers for our projects.  I'm asking that the funds by generated from our volunteer work be channeled back into the Master Gardener Volunteer program.  This is our mutual fund investment in our present and future gardening efforts.  We want to see growth and satisfaction among the current members, membership retention and greater numbers of new volunteers.  For this to happen,we need plenty of modern equipment, accessible equipment, and more soil, seed, and potting supplies money|We should try to embrace the other Master Gardener programs in the state.  Invite the nearest ones to visit our gardens, publish articles and pictures of our gardens in the newspaper and online.   I think the Master Gardener Volunteer program is rich with opportunity at this time. |This program will die without growth generated by the hours of volunteer work contributed.  We have to continue to reinvest in the program, plan growth and acquisition of capital and equipment and provide our groups with a more realistic budget.  
465|Master Gardener Volunteer|10+|Female|65+|Education Programs- Opportunities to work and learn from others|More emphasis on native vegetation and its importance for survival of wildlife|Callaborate with other groups building appreciation of the environment|Lack of public support for public educational endeavors
466|Master Gardener Volunteer|10+|Prefer not to respond|Prefer not to respond|education opportunities, the emailed resources from Mike Maddox, the online training- have it come back please, having regional communities of master gardeners thru their associations with the education and service opportunties available thru the associations.|not enough online education training opportuntieis|more coordinated use of mgs with other programs- eg, using apps for global or national biodiversity recording, more awareness and encouraging of civic engagement in issues related to mgs- eg, water resources, soil health, landscape contamination issues.  I have not seen anything from the WI mgs about the Spring Hearings of the WI conservation congress which has some questions that are pertinent to master gardeners.|"lack of funding by the state legislators who don't know the ""stories"" or impacts of the master gardener program in their represented area.  Should mg associations go to Madison on the area legistlative trips- eg in western wi, there is a legislation day where local businesses go to Madison to let them know western wi issues are important- it is because western wisconsin, eg pierce, st croix counties, felt ignored by madison. Can't the mgs somehow tag onto or be part of those trips from the various parts of the state? I don't see opportunities for ""witness"" to our local state legislators about the role and impact of mgs from the mgs themselves."
467|Master Gardener Volunteer|43595|Female|45-64|Training & education (although I think the beginning training class could use some tweaking), also the variety of volunteer opportunities available. I am passionate about gardening and want to always keep learning about gardening.  I like making a difference in the community by gardening.  |Level 1 training needs some changes ( of course it may have changes, this is just what I remembered from when I took it) I felt the last few weeks of classwork was very rushed, didn't take time to go through all of the material. So perhaps reorganize the class schedule - extend by a week or so?  My local group (Southeast MG) needs some improvement in communication.  The program overall needs to be more visible and known to the community. Many people I talk to have never heard about the Master Gardener program.  We should be well known in our communities. |Our strengths are our training and our passion for gardening.  We need to find new ways to connect with the community about gardening in the community and for peoples personal gardens. |It's hard to get people to volunteer in general due to busy lives and demanding kid schedules.  And that doesn't look like it will change anytime soon.  We need to be creative in different ways people can volunteer their time.  I'm not saying get rid of or reduce required volunteer hours - that is important. Awareness in our community is an obstacle - if people don't know about our program or how we impact the community then we will see less new members.  The majority of MGV in my group are retirement age.  What happens when they can't garden any longer?  Will we have enough new people to come in and take over projects?
468|Master Gardener Volunteer|43595|Female|65+|Strengths:  1) prepares volunteers to handle a broad spectrum of botanical issues  2) expects volunteers to utilize what they've learned in a civic-minded way  3) provides strong support in ways that help volunteers use their newly learned talents  4) keeps providing volunteers with latest information.  What exites me about the program:  1) I get to do something I love which is help others .. in venues that are beautiful, exciting and challenging AND I am forever learning.|1)  Publish the student manual for ALL the general population to buy and use.  Many out there would buy it and learn tons from it.  Fund raising.. come up with new ideas.  I think the SE Wisconsin plant sale is extremely labor-intensive - especially for an aging population.  I recommend an annual gardening calendar.. such as the Placer county of California's gardening calendar.  I'd really like to know more how other Wisconsin MGV areas function.. as well as others on a national level.  And.. are we really MASTER gardeners?  I don't think so.  We're trained.. but not on a 'Master' level.  And 'Master Gardener Volunteers Who Do Plant Advising'  REALLY ?  That's the best they could do?  For one thing, they are advising on a whole lot more than just plants, we are involved in things botanical and zoological.  Need to improve that title, please.  I would ask too that the state update emails contain the latest hot issues and forget about the exotic plant info.   |Urban gardening as a source of food supply.  More civic gardens that enhance beauty and supply more ecological benefits.  Eldergartens near nursing homes, garden support for more schools. More presence at Farmers Markets.  A 'Gardenmobile'.. like a bookmobile.. travel to communities.. time it so it's at cities during a community festival.. or .. ?   We have to be where the people are to be available to the general population.  Garden Fest.  |Threats to MGV program = burdensome layers of bureaucracy, potential for it to be seen as 'not valuable' to the state of Wisconsin budget makers.  Competitors = Some landscape &/or garden centers now offering how-to classes.  Why don't we offer more How-To classes?  I think our biggest problem is not enough people know about us.  We should march in a few parades .. like the Ice Age Trail Alliance does in Whitewater's 4th of July parade.
469|Master Gardener Volunteer|0-5|Female|45-64|Plant sale is well run, fun to participate. I garden at Eble both flowers and vegetables, well run and friendly. Good communication in both of those programs.|I have trouble getting the required education hours in at locations that are nearby to Pewaukee. I would like to see more Ed opportunities at WCTC|Glue is the people and engagement.|Competitors are any organization that maintains property (church, school, library) there are plenty of opportunities to volunteer at those places.
470|County Coordinator/Educator|43595|Male|45-64|Master Gardener introduces people to the science behind gardening.  What excites me is the opportunity to teach soils and plants to enthusiastic people other than farmers.|The main weakness is more my fault than the program.  People look to the MG program as a training program for their own gardening rather than a program for training volunteers to help Extension then they expect me to set up opportunities for them to volunteer at.|The MG program has a great opportunity in the eat local movement with assisting people to grow their own fruits and vegies.|The largest threat to MG program is from the people in the program.  If a person makes a commitment to be active, they usually are active and get things done.  I have trained many people but only have a few active volunteers.  I don't know how much time I should spend on this.  I don't see any external threats to MG except funding and time.
471|Master Gardener Volunteer|10+|Female|65+|Continued learning opportunities and camaraderie with other gardeners. Outreach to community to teach and expose to enjoying plants and beautifying ares.|Continue online learning for those who find it difficult to get to onsite presentations |After participating in the placemaking webinar,I see opportunities for MGVs to have input into other community projects. I think the volunteer hours need to recognize this area as a potential. |Competitors might be other garden clubs that have fewer requirements for volunteer and education hours. It might be beneficial to make it easier for those who go inactive to return. 
472|Master Gardener Volunteer|0-5|Female|65+|I like the ability to work with and learn from other devoted gardeners.  The freedom to choose the projects of interest to me is important. There are many training programs available and excellent scientific resources.  Most Master Gardeners are enthusiastic.|The program seems to lack direction and the information you get is highly dependent on what county you work with.  One county I've worked with was very old, had some infighting, and wasn't cohesive.  An adjacent county seems to have it together more. The unfilled coordinator positions are a problem and I feel uncomfortable bothering Amy or Mike because they have more important things to do.  Some things I would like to do like writing articles on appropriate issues have no real outlet.  Notification of local programs of interest is spotty. Needs better coordination at the volunteer level.|Should play a leadership role in bringing climate change issues to the average joe and encouraging things like non-grass yards, pollinator gardens, changes in community regulations to allow bee hives, composting etc. on city lots, encourage cities to create urban forest committees, etc.|Competition from garden centers, private presenters, lack of coordination / overlap / territory wars between various governmental agencies, lack of younger volunteers interested in formal programs
473|Master Gardener Volunteer|10+|Female|65+|Provides education to the members and community|Sometimes there are volunteer projects that do not match our goals.|Not sure|None.
474|Master Gardener Volunteer|10+|Female|45-64|Educate and reach out to community|Too many hours required to maintain your Master Gardener status/accredidation|working with schools, i.e. take a look at Ag In the Classroom @ Farm Bureau|time constrains. Younger/working/parents do not have time to commit to this - it's becoming 'old'people
475|Master Gardener Volunteer|43595|Female|65+|Eager volunteers to work on projects|We need a full time County Educator|xxxxxxxx|Retirements 
476|Master Gardener Volunteer|0-5|Female|45-64|Hands on experiences.|Less class time that is devoted to the book, somtimes it felt very elementary. More challenging projects.|I don't feel I have been involved enough to answer that.|same answer as the prior question
477|||||Hhhhhh|Y|Hhhh|Llll
